Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Critical analysis of vendor lock-in and its impact on cloud computing migration: a business perspective","Journal of Cloud Computing","","5","1","10.1186/s13677-016-0054-z","Justice Opara-MartinsReza SahandiFeng Tian","2016","http://link.springer.com/article/10.1186/s13677-016-0054-z","Article"
"Survey on serverless computing","Journal of Cloud Computing","","10","1","10.1186/s13677-021-00253-7","Hassan B. HassanSaman A. BarakatQusay I. Sarhan","2021","http://link.springer.com/article/10.1186/s13677-021-00253-7","Article"
"Serverless computing: a security perspective","Journal of Cloud Computing","","11","1","10.1186/s13677-022-00347-w","Eduard MarinDiego PerinoRoberto Di Pietro","2022","http://link.springer.com/article/10.1186/s13677-022-00347-w","Article"
"Understanding the challenges and novel architectural models of multi-cloud native applications – a systematic literature review","Journal of Cloud Computing","","12","1","10.1186/s13677-022-00367-6","Juncal AlonsoLeire Orue-EchevarriaValentina CasolaAna Isabel TorreMaider HuarteEneko OsabaJesus L. Lobo","2023","http://link.springer.com/article/10.1186/s13677-022-00367-6","Article"
"Issues on developing interoperable cloud applications: definitions, concepts, approaches, requirements, characteristics and evaluation models","Journal of Software Engineering Research and Development","","4","1","10.1186/s40411-016-0033-6","Elias NogueiraAna MoreiraDaniel LucrédioVinícius GarciaRenata Fortes","2016","http://link.springer.com/article/10.1186/s40411-016-0033-6","Article"
"Energy-efficient service-oriented architecture for mobile cloud handover","Journal of Cloud Computing","","6","1","10.1186/s13677-017-0079-y","Qassim Bani HaniJulius P. Dichter","2017","http://link.springer.com/article/10.1186/s13677-017-0079-y","Article"
"An exploration of the determinants for decision to migrate existing resources to cloud computing using an integrated TOE-DOI model","Journal of Cloud Computing","","6","1","10.1186/s13677-016-0072-x","Adel AlkhalilReza SahandiDavid John","2017","http://link.springer.com/article/10.1186/s13677-016-0072-x","Article"
"Design, simulation and testing of a cloud platform for sharing digital fabrication resources for education","Journal of Cloud Computing","","8","1","10.1186/s13677-019-0135-x","Gianluca CornettaJavier MateosAbdellah TouhafiGabriel-Miro Muntean","2019","http://link.springer.com/article/10.1186/s13677-019-0135-x","Article"
"OpenStackDP: a scalable network security framework for SDN-based OpenStack cloud infrastructure","Journal of Cloud Computing","","12","1","10.1186/s13677-023-00406-w","Prabhakar KrishnanKurunandan JainAmjad AldweeshP. PrabuRajkumar Buyya","2023","http://link.springer.com/article/10.1186/s13677-023-00406-w","Article"
"Model-based cloud service deployment optimisation method for minimisation of application service operational cost","Journal of Cloud Computing","","12","1","10.1186/s13677-023-00389-8","Ivana StuparDarko Huljenic","2023","http://link.springer.com/article/10.1186/s13677-023-00389-8","Article"
"Blockchain-based trust management in cloud computing systems: a taxonomy, review and future directions","Journal of Cloud Computing","","10","1","10.1186/s13677-021-00247-5","Wenjuan LiJiyi WuJian CaoNan ChenQifei ZhangRajkumar Buyya","2021","http://link.springer.com/article/10.1186/s13677-021-00247-5","Article"
"Taxonomy and issues for antifragile-based multimedia cloud computing","Journal of Reliable Intelligent Environments","","2","1","10.1007/s40860-016-0017-7","Syed Fawad HaiderLaraib AbbasAmjad AliMuddesar IqbalImran RazaSyed Asad HussainDoug Young Suh","2016","http://link.springer.com/article/10.1007/s40860-016-0017-7","Article"
"Current cloud challenges in Germany: the perspective of cloud service providers","Journal of Cloud Computing","","7","1","10.1186/s13677-018-0107-6","Raoul HentschelChristian LeyhAnne Petznick","2018","http://link.springer.com/article/10.1186/s13677-018-0107-6","Article"
"ReactiveFnJ: A choreographed model for Fork-Join Workflow in Serverless Computing","Journal of Cloud Computing","","12","1","10.1186/s13677-023-00429-3","Urmil BhartiAnita GoelS. C. Gupta","2023","http://link.springer.com/article/10.1186/s13677-023-00429-3","Article"
"Cloud resource orchestration in the multi-cloud landscape: a systematic review of existing frameworks","Journal of Cloud Computing","","9","1","10.1186/s13677-020-00194-7","Orazio TomarchioDomenico CalcaterraGiuseppe Di Modica","2020","http://link.springer.com/article/10.1186/s13677-020-00194-7","Article"
"Optimal deployment of components of cloud-hosted application for guaranteeing multitenancy isolation","Journal of Cloud Computing","","8","1","10.1186/s13677-018-0124-5","Laud Charles OcheiAndrei PetrovskiJulian M. Bass","2019","http://link.springer.com/article/10.1186/s13677-018-0124-5","Article"
"A fuzzy inference system (FIS) to evaluate the security readiness of cloud service providers","Journal of Cloud Computing","","9","1","10.1186/s13677-020-00192-9","Syed RizviJohn MitchellAbdul RazaqueMohammad R. RizviIyonna Williams","2020","http://link.springer.com/article/10.1186/s13677-020-00192-9","Article"
"Enterprise adoption of cloud computing with application portfolio profiling and application portfolio assessment","Journal of Cloud Computing","","10","1","10.1186/s13677-020-00210-w","Kent RamchandMohan Baruwal ChhetriRyszard Kowalczyk","2021","http://link.springer.com/article/10.1186/s13677-020-00210-w","Article"
"A risk assessment model for selecting cloud service providers","Journal of Cloud Computing","","5","1","10.1186/s13677-016-0064-x","Erdal CayirciAlexandr GaragaAnderson Santana de OliveiraYves Roudier","2016","http://link.springer.com/article/10.1186/s13677-016-0064-x","Article"
"Decision making in cloud environments: an approach based on multiple-criteria decision analysis and stochastic models","Journal of Cloud Computing","","7","1","10.1186/s13677-018-0106-7","Julian AraujoPaulo MacielErmeson AndradeGustavo CallouVandi AlvesPaulo Cunha","2018","http://link.springer.com/article/10.1186/s13677-018-0106-7","Article"
"Developer discussion topics on the adoption and barriers of low code software development platforms","Empirical Software Engineering","","28","1","10.1007/s10664-022-10244-0","Md Abdullah Al AlaminGias UddinSanjay MalakarSadia AfrozTameem HaiderAnindya Iqbal","2022","http://link.springer.com/article/10.1007/s10664-022-10244-0","Article"
"CFaaS: bilaterally agreed evidence collection","Journal of Cloud Computing","","7","1","10.1186/s13677-017-0102-3","Ahmed Nour MoussaNorafida IthninAnazida Zainal","2018","http://link.springer.com/article/10.1186/s13677-017-0102-3","Article"
"Classifying malware attacks in IaaS cloud environments","Journal of Cloud Computing","","6","1","10.1186/s13677-017-0098-8","Noëlle RakotondravonyBenjamin TaubmannWaseem MandarawiEva WeishäuplPeng XuBojan KolosnjajiMykolai ProtsenkoHermann de MeerHans P. Reiser","2017","http://link.springer.com/article/10.1186/s13677-017-0098-8","Article"
"Scalability analysis comparisons of cloud-based software services","Journal of Cloud Computing","","8","1","10.1186/s13677-019-0134-y","Amro Al-Said AhmadPeter Andras","2019","http://link.springer.com/article/10.1186/s13677-019-0134-y","Article"
